Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,Row Global,MSS,10/100/1000 Ethernet,RCOSC_50MHZ,XTLOSC
CommsFPGA_CCC_0/Primitives,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
CommsFPGA_top_0/COLLISION_DETECTOR_INST/Primitives,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/IDLE_LINE_DETECTOR/Primitives,45,33,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/CLOCK_DOMAIN_BUFFER_INST/CLOCK_DOMAIN_BUFFER_0/L32.U_corefifo_async/Primitives,79,59,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/CLOCK_DOMAIN_BUFFER_INST/CLOCK_DOMAIN_BUFFER_0/L32.U_corefifo_async/Rd_corefifo_doubleSync/Primitives,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/CLOCK_DOMAIN_BUFFER_INST/CLOCK_DOMAIN_BUFFER_0/L32.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/CLOCK_DOMAIN_BUFFER_INST/CLOCK_DOMAIN_BUFFER_0/L32.U_corefifo_async/Wr_corefifo_doubleSync/Primitives,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/CLOCK_DOMAIN_BUFFER_INST/CLOCK_DOMAIN_BUFFER_0/L32.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/CLOCK_DOMAIN_BUFFER_INST/CLOCK_DOMAIN_BUFFER_0/Primitives,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER2_INST/CLOCK_DOMAIN_BUFFER_INST/CLOCK_DOMAIN_BUFFER_0/RW1_UI_ram_wrapper_1/U2_asyncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0,0
