pin,slack
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:ADn,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:ALn,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:CLK,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:D,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:EN,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:LAT,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:Q,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:SD,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:SLn,
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:ADn,
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:ALn,
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:CLK,43845
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:D,46648
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:EN,
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:LAT,
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:Q,43845
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:SD,
CommsFPGA_top_0/COLLISION_DETECTOR_INST/clk_count[4]:SLn,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/JABBER_DETECT_inst/Jabber_cntr_lm_0[12]:A,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/JABBER_DETECT_inst/Jabber_cntr_lm_0[12]:B,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/JABBER_DETECT_inst/Jabber_cntr_lm_0[12]:C,
CommsFPGA_top_0/MANCHESTER_ENCODER_2_INST/JABBER_DETECT_inst/Jabber_cntr_lm_0[12]:Y,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_22/CFG_22:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_22/CFG_22:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_22/CFG_22:IPB,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_22/CFG_22:IPC,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_13/FF_17:EN,
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:CC[0],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:CC[1],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:CI,
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[0],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[10],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[11],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[1],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[2],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[3],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[4],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[5],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[6],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[7],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[8],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:P[9],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[0],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[10],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[11],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[1],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[2],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[3],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[4],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[5],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[6],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[7],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[8],
CommsFPGA_top_0/MDIO_SLAVE_INST/register_bus_out_20_6_0_0_wmux[6]_CC_0:UB[9],
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:ADn,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:ALn,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:CLK,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:D,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:EN,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:LAT,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:Q,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:SD,
CommsFPGA_top_0/MDIO_SLAVE_INST/Register15[6]:SLn,
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:ADn,
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:ALn,
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:CLK,394
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:D,1726
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:EN,3518
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:LAT,
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:Q,394
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:SD,
CommsFPGA_top_0/IDLE_LINE_DETECTOR/prbs_gen_hold[0]:SLn,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwA/b3_P_F_6_4_1:A,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwA/b3_P_F_6_4_1:B,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwA/b3_P_F_6_4_1:C,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwA/b3_P_F_6_4_1:D,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwA/b3_P_F_6_4_1:Y,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_21/FF_20:EN,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b3_SoW_b3_SoW_0_16/CFG_33:B,
