
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. m2s010_som, 2171, 1700, 418, 0, 0, 64, 1, 19, 114
.	. CommsFPGA_top, 790, 590, 365, 0, 0, 0, 1, 6, 0
.	.	. IdleLineDetector_1, 33, 15, 30, 0, 0, 0, 0, 0, 0
.	.	. ManchesDecoder2, 248, 180, 117, 0, 0, 0, 1, 1, 0
.	.	.	. BitDetector, 17, 5, 17, 0, 0, 0, 0, 0, 0
.	.	.	. CLOCK_DOMAIN_BUFFER, 97, 51, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_COREFIFO, 97, 51, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_async, 89, 44, 44, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_6, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_7, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_6, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_7, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_ram_wrapper, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_USRAM_top, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	. ManchesDecoder_Adapter, 73, 48, 30, 0, 0, 0, 0, 1, 0
.	.	.	.	. IdleLineDetector_0, 33, 15, 30, 0, 0, 0, 0, 0, 0
.	.	.	. RX_SM, 47, 54, 26, 0, 0, 0, 0, 0, 0
.	.	. ManchesEncoder2, 91, 137, 69, 0, 0, 0, 0, 0, 0
.	.	.	. Jabber_SM, 52, 77, 48, 0, 0, 0, 0, 0, 0
