
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. m2s010_som, 1628, 1260, 396, 0, 0, 15, 1, 20, 107
.	. CommsFPGA_top, 752, 603, 344, 0, 0, 0, 1, 7, 0
.	.	. IdleLineDetector_1, 33, 14, 30, 0, 0, 0, 0, 0, 0
.	.	. ManchesDecoder2, 200, 153, 100, 0, 0, 0, 1, 0, 0
.	.	.	. BitDetector, 17, 6, 17, 0, 0, 0, 0, 0, 0
.	.	.	. CLOCK_DOMAIN_BUFFER, 93, 77, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_COREFIFO, 93, 77, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_async, 86, 36, 44, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_6, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_7, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_6, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_7, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_ram_wrapper, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_USRAM_top, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	. ManchesDecoder_Adapter, 60, 35, 30, 0, 0, 0, 0, 0, 0
.	.	.	.	. IdleLineDetector_0, 33, 15, 30, 0, 0, 0, 0, 0, 0
.	.	.	. RX_SM, 30, 35, 9, 0, 0, 0, 0, 0, 0
.	.	. ManchesEncoder2, 89, 131, 60, 0, 0, 0, 0, 0, 0
.	.	.	. Edge_Detect_3, 7, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. Jabber_SM, 52, 79, 48, 0, 0, 0, 0, 0, 0
.	.	.	. Nib2Ser_SM, 24, 43, 12, 0, 0, 0, 0, 0, 0
.	.	. Phy_Mux, 0, 17, 0, 0, 0, 0, 0, 1, 0
.	.	. TX_Collision_Detector2, 19, 12, 16, 0, 0, 0, 0, 0, 0
.	.	. TriDebounce, 54, 45, 48, 0, 0, 0, 0, 0, 0
.	.	.	. Debounce, 18, 15, 16, 0, 0, 0, 0, 0, 0
.	.	.	. Debounce_0, 18, 15, 16, 0, 0, 0, 0, 0, 0
.	.	.	. Debounce_1, 18, 15, 16, 0, 0, 0, 0, 0, 0
.	.	. mdio_slave_interface, 269, 163, 81, 0, 0, 0, 0, 1, 0
.	.	. uP_if, 74, 58, 0, 0, 0, 0, 0, 0, 0
.	.	.	. Interrupts, 25, 11, 0, 0, 0, 0, 0, 0, 0
