
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. m2s010_som, 1794, 1387, 411, 0, 0, 21, 1, 19, 110
.	. CommsFPGA_top, 759, 583, 359, 0, 0, 0, 1, 6, 0
.	.	. IdleLineDetector_1, 33, 14, 30, 0, 0, 0, 0, 0, 0
.	.	. ManchesDecoder2, 217, 134, 117, 0, 0, 0, 1, 0, 0
.	.	.	. BitDetector, 17, 5, 17, 0, 0, 0, 0, 0, 0
.	.	.	. CLOCK_DOMAIN_BUFFER, 93, 38, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_COREFIFO, 93, 38, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_async, 86, 35, 44, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_6, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_7, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_6, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_7, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_ram_wrapper, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_USRAM_top, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	. ManchesDecoder_Adapter, 60, 37, 30, 0, 0, 0, 0, 0, 0
.	.	.	.	. IdleLineDetector_0, 33, 15, 30, 0, 0, 0, 0, 0, 0
.	.	.	. RX_SM, 47, 54, 26, 0, 0, 0, 0, 0, 0
.	.	. ManchesEncoder2, 91, 133, 69, 0, 0, 0, 0, 0, 0
.	.	.	. Jabber_SM, 52, 79, 48, 0, 0, 0, 0, 0, 0
