
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. m2s010_som, 1811, 1299, 715, 0, 0, 5, 0, 18, 122
.	. CommsFPGA_top, 1687, 1216, 701, 0, 0, 5, 0, 6, 0
.	.	. FIFOs, 793, 372, 361, 0, 0, 5, 0, 1, 0
.	.	.	. FIFO_2Kx8, 156, 71, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_COREFIFO, 156, 71, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_async, 144, 59, 71, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_doubleSync_0, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_doubleSync_1, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_grayToBinConv, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_grayToBinConv_0, 0, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_ram_wrapper, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_LSRAM_top, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. FIFO_8Kx9, 158, 71, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_COREFIFO, 158, 71, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_async_3, 145, 61, 71, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_0, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3, 0, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_0, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_ram_wrapper, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_LSRAM_top, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. FIFO_8Kx9_0, 158, 72, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_COREFIFO_0, 158, 72, 71, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_async_3_0, 145, 62, 71, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_0_0, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_1, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_1, 0, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_2, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_ram_wrapper_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_LSRAM_top_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. FIFO_8Kx9_1, 158, 71, 71, 0, 0, 1, 0, 0, 0
