
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. m2s010_som, 883, 671, 373, 0, 0, 0, 1, 15, 114
.	. CommsFPGA_top, 759, 577, 359, 0, 0, 0, 1, 6, 0
.	.	. IdleLineDetector_1, 33, 14, 30, 0, 0, 0, 0, 0, 0
.	.	. ManchesDecoder2, 217, 177, 117, 0, 0, 0, 1, 0, 0
.	.	.	. BitDetector, 17, 6, 17, 0, 0, 0, 0, 0, 0
.	.	.	. CLOCK_DOMAIN_BUFFER, 93, 78, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_COREFIFO, 93, 78, 44, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_async, 86, 36, 44, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_6, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_doubleSync_0_7, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_6, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_corefifo_grayToBinConv_7, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_ram_wrapper, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. CLOCK_DOMAIN_BUFFER_CLOCK_DOMAIN_BUFFER_0_USRAM_top, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	. ManchesDecoder_Adapter, 60, 38, 30, 0, 0, 0, 0, 0, 0
.	.	.	.	. IdleLineDetector_0, 33, 14, 30, 0, 0, 0, 0, 0, 0
.	.	.	. RX_SM, 47, 55, 26, 0, 0, 0, 0, 0, 0
.	.	. ManchesEncoder2, 91, 130, 69, 0, 0, 0, 0, 0, 0
.	.	.	. Jabber_SM, 52, 77, 48, 0, 0, 0, 0, 0, 0
.	.	.	. Nib2Ser_SM, 33, 50, 21, 0, 0, 0, 0, 0, 0
.	.	. Phy_Mux, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	. TX_Collision_Detector2, 19, 13, 16, 0, 0, 0, 0, 0, 0
.	.	. mdio_slave_interface, 302, 150, 119, 0, 0, 0, 0, 1, 0
.	.	. uP_if, 82, 61, 0, 0, 0, 0, 0, 0, 0
.	.	.	. Interrupts, 33, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Edge_Detect_0, 7, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Edge_Detect_0_0, 7, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Edge_Detect_0_1, 7, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. Edge_Detect_0_2, 7, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	. m2s010_som_CommsFPGA_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	. m2s010_som_sb, 124, 91, 14, 0, 0, 0, 0, 7, 61
.	.	. CoreConfigP, 74, 64, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 50, 17, 14, 0, 0, 0, 0, 2, 0
.	.	. m2s010_som_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. m2s010_som_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. m2s010_som_sb_MSS, 0, 10, 0, 0, 0, 0, 0, 3, 61
