@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled 
@N: MF625 |Insert Identify debug core
@N: MF625 |Insert Identify debug core
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6509:19:6509:54|Connected syn_hyper_connect ident_coreinst.ident_hyperc_tx_fifo_empty_IICE_0_41, tag CommsFPGA_top_0.tx_fifo_empty
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6501:19:6501:50|Connected syn_hyper_connect ident_coreinst.ident_hyperc_tx_enable_IICE_0_40, tag CommsFPGA_top_0.tx_enable
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6493:19:6493:54|Connected syn_hyper_connect ident_coreinst.ident_hyperc_start_tx_fifo_IICE_0_39, tag CommsFPGA_top_0.start_tx_fifo
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6485:19:6485:48|Connected syn_hyper_connect ident_coreinst.ident_hyperc_bit_clk_IICE_0_28, tag CommsFPGA_top_0.bit_clk
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6477:19:6477:48|Connected syn_hyper_connect ident_coreinst.ident_hyperc_int_reg_IICE_0_30, tag CommsFPGA_top_0.PROCESSOR_INTERFACE_INST.INTERRUPT_INST.int_reg
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6469:19:6469:44|Connected syn_hyper_connect ident_coreinst.ident_hyperc_int_IICE_0_29, tag CommsFPGA_top_0.PROCESSOR_INTERFACE_INST.INTERRUPT_INST.int
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6461:19:6461:61|Connected syn_hyper_connect ident_coreinst.ident_hyperc_tx_fifo_underrun_int_IICE_0_42, tag CommsFPGA_top_0.PROCESSOR_INTERFACE_INST.INTERRUPT_INST.tx_fifo_underrun_int
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6453:19:6453:52|Connected syn_hyper_connect ident_coreinst.ident_hyperc_int_reg_clr_IICE_0_38, tag CommsFPGA_top_0.PROCESSOR_INTERFACE_INST.INTERRUPT_INST.int_reg_clr
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6445:19:6445:51|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_write_IICE_0_27, tag CommsFPGA_top_0.apb3_write
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6437:19:6437:51|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_wdata_IICE_0_19, tag CommsFPGA_top_0.apb3_wdata
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6429:19:6429:49|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_sel_IICE_0_18, tag CommsFPGA_top_0.apb3_sel
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6421:19:6421:51|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_ready_IICE_0_17, tag CommsFPGA_top_0.apb3_ready
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6413:19:6413:50|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_rdata_IICE_0_9, tag CommsFPGA_top_0.apb3_rdata
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6405:19:6405:51|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_enable_IICE_0_8, tag CommsFPGA_top_0.apb3_enable
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6397:19:6397:49|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_addr_IICE_0_0, tag CommsFPGA_top_0.apb3_addr
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6389:19:6389:39|Connected syn_hyper_connect ident_coreinst.ident_hyperc_apb3_clk, tag CommsFPGA_top_0.PROCESSOR_INTERFACE_INST.INTERRUPT_INST.apb3_clk
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6362:19:6362:64|Connected syn_hyper_connect ident_coreinst.ident_hyperc_rx_fifo_txcoldetdis_wr_en_IICE_27, tag CommsFPGA_top_0.rx_fifo_txcoldetdis_wr_en
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6354:19:6354:55|Connected syn_hyper_connect ident_coreinst.ident_hyperc_rx_fifo_din_pipe_IICE_16, tag CommsFPGA_top_0.rx_fifo_din_pipe
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6346:19:6346:55|Connected syn_hyper_connect ident_coreinst.ident_hyperc_rx_fifo_underrun_IICE_28, tag CommsFPGA_top_0.PROCESSOR_INTERFACE_INST.rx_fifo_underrun
@N: BN397 :"c:\pulsar\projects\ppi\poweredrail\common_module_soc\commonmodule_rev1_5common\synthesis\synthesis_1\instr_sources\syn_dics.v":6338:19:6338:55|Connected syn_hyper_connect ident_coreinst.ident_hyperc_rx_fifo_overflow_IICE_25, tag CommsFPGA_top_0.PROCESSOR_INTERFACE_INST.rx_fifo_overflow
