
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. m2s010_som, 3073, 2413, 743, 0, 0, 57, 0, 21, 122
.	. CommsFPGA_top, 1604, 1239, 691, 0, 0, 21, 0, 7, 0
.	.	. FIFOs, 894, 527, 424, 0, 0, 21, 0, 2, 0
.	.	.	. FIFO_2Kx8, 158, 75, 70, 0, 0, 1, 0, 0, 0
.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_COREFIFO, 158, 75, 70, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_async, 146, 64, 70, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_doubleSync_0, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_doubleSync_1, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_grayToBinConv, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_corefifo_grayToBinConv_0, 0, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_ram_wrapper, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. FIFO_2Kx8_FIFO_2Kx8_0_LSRAM_top, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. FIFO_8Kx9, 183, 107, 82, 0, 0, 5, 0, 0, 0
.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_COREFIFO, 183, 107, 82, 0, 0, 5, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_async_3, 170, 95, 82, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync, 28, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_0, 28, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3, 0, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_0, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_ram_wrapper, 0, 0, 0, 0, 0, 5, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_LSRAM_top, 0, 0, 0, 0, 0, 5, 0, 0, 0
.	.	.	. FIFO_8Kx9_0, 183, 116, 82, 0, 0, 5, 0, 0, 0
.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_COREFIFO_0, 183, 116, 82, 0, 0, 5, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_async_3_0, 170, 104, 82, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_0_0, 28, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_1, 28, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_1, 0, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_2, 0, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_ram_wrapper_0, 0, 0, 0, 0, 0, 5, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_LSRAM_top_0, 0, 0, 0, 0, 0, 5, 0, 0, 0
.	.	.	. FIFO_8Kx9_1, 183, 107, 82, 0, 0, 5, 0, 0, 0
.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_COREFIFO_1, 183, 107, 82, 0, 0, 5, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_async_3_1, 170, 95, 82, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_0_1, 28, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_doubleSync_2, 28, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_3, 0, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_corefifo_grayToBinConv_1_3_4, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. FIFO_8Kx9_FIFO_8Kx9_0_ram_wrapper_1, 0, 0, 0, 0, 0, 5, 0, 0, 0
